Date,School,Meal_Type,Rank,Recommended_Dish,Predicted_Score
2025-05-01,Aldrin Elementary,Breakfast,1,Egg and American Cheese on Biscuit,0.17709517972880148
2025-05-01,Aldrin Elementary,Breakfast,2,1% White Milk,0.07408082984610201
2025-05-01,Aldrin Elementary,Breakfast,3,Strawberry Parfait,0.028843663648982255
2025-05-01,Aldrin Elementary,Lunch,1,Chickpeas,0.3131808099733531
2025-05-01,Aldrin Elementary,Lunch,2,1% White Milk,0.11373953294927361
2025-05-01,Aldrin Elementary,Lunch,3,Doritos Wild White Nacho Flavored Tortilla Chips,0.10426299840333164
2025-05-01,Annandale High,Breakfast,1,Red Delicious Apple,0.038809342246429096
2025-05-01,Annandale High,Breakfast,2,1% White Milk,0.032610848884530204
2025-05-01,Annandale High,Breakfast,3,Orange,0.026096416705491718
2025-05-01,Annandale High,Lunch,1,Chickpeas,0.36520885437478384
2025-05-01,Annandale High,Lunch,2,Spicy Chicken Wrap,0.23735981734337674
2025-05-01,Annandale High,Lunch,3,Italian Dressing,0.13275184375824384
2025-05-01,Annandale Terrace Elementary,Breakfast,1,Egg and American Cheese on Biscuit,0.1282127459441461
2025-05-01,Annandale Terrace Elementary,Breakfast,2,Banana,0.050365753665191915
2025-05-01,Annandale Terrace Elementary,Breakfast,3,Red Delicious Apple,0.03440654507918046
2025-05-01,Annandale Terrace Elementary,Lunch,1,Chickpeas,0.22603913447217147
2025-05-01,Annandale Terrace Elementary,Lunch,2,1% White Milk,0.07807016693219875
2025-05-01,Annandale Terrace Elementary,Lunch,3,Orange Tangerine Juice,0.07088995574795874
2025-05-01,Armstrong Elementary,Breakfast,1,Egg and American Cheese on Biscuit,0.1666433991532048
2025-05-01,Armstrong Elementary,Breakfast,2,Strawberry Parfait,0.03877029549510348
2025-05-01,Armstrong Elementary,Breakfast,3,Blueberry Bread,0.03871138872885141
2025-05-01,Armstrong Elementary,Lunch,1,Italian Dressing,0.1867353874003828
2025-05-01,Armstrong Elementary,Lunch,2,Soft Pretzel,0.15114549880251854
2025-05-01,Armstrong Elementary,Lunch,3,Black Beans - salad bar entree,0.07402289520975841
2025-05-01,Beech Tree Elementary,Breakfast,1,Egg and American Cheese on Biscuit,0.16723256070184384
2025-05-01,Beech Tree Elementary,Breakfast,2,Red Delicious Apple,0.03769587397380742
2025-05-01,Beech Tree Elementary,Breakfast,3,1% White Milk,0.03341151537912546
2025-05-01,Beech Tree Elementary,Lunch,1,1% White Milk,0.08677481579200669
2025-05-01,Beech Tree Elementary,Lunch,2,Italian Dressing,0.06964893752453499
2025-05-01,Beech Tree Elementary,Lunch,3,Black Beans,0.05282229966035409
2025-05-01,Belle View Elementary,Breakfast,1,Egg and American Cheese on Biscuit,0.16002430882008345
2025-05-01,Belle View Elementary,Breakfast,2,1% White Milk,0.08298632546490017
2025-05-01,Belle View Elementary,Breakfast,3,Strawberry Parfait,0.03741171122641113
2025-05-01,Belle View Elementary,Lunch,1,Chickpeas,0.33145216020628304
2025-05-01,Belle View Elementary,Lunch,2,Doritos Wild White Nacho Flavored Tortilla Chips,0.1526249547011013
2025-05-01,Belle View Elementary,Lunch,3,1% White Milk,0.12852573845429857
2025-05-01,Belvedere Elementary,Breakfast,1,Egg and American Cheese on Biscuit,0.10721270105268552
2025-05-01,Belvedere Elementary,Breakfast,2,Banana,0.06035329323314287
2025-05-01,Belvedere Elementary,Breakfast,3,Red Delicious Apple,0.03808821847307221
2025-05-01,Belvedere Elementary,Lunch,1,Chickpeas,0.22714184017058756
2025-05-01,Belvedere Elementary,Lunch,2,Italian Dressing,0.08566319301069729
2025-05-01,Belvedere Elementary,Lunch,3,1% White Milk,0.052488655953472504
2025-05-01,Bonnie Brae Elementary,Breakfast,1,Strawberry Parfait,0.1926357657283532
2025-05-01,Bonnie Brae Elementary,Breakfast,2,Egg and American Cheese on Biscuit,0.12347167880681513
2025-05-01,Bonnie Brae Elementary,Breakfast,3,Banana,0.04576898126324816
2025-05-01,Bonnie Brae Elementary,Lunch,1,Cherry Flavored Dried Cranberries,0.6704532531194619
2025-05-01,Bonnie Brae Elementary,Lunch,2,Peach Yogurt Power Pack,0.4441146679881495
2025-05-01,Bonnie Brae Elementary,Lunch,3,Soft Pretzel,0.39918735897766144
2025-05-01,Braddock Elementary,Breakfast,1,Banana,0.05923705971486787
2025-05-01,Braddock Elementary,Breakfast,2,Red Delicious Apple,0.052226289254490396
2025-05-01,Braddock Elementary,Breakfast,3,Orange,0.04353112104722684
2025-05-01,Braddock Elementary,Lunch,1,Chickpeas,0.32802964445658417
2025-05-01,Braddock Elementary,Lunch,2,Italian Dressing,0.09531868171650675
2025-05-01,Braddock Elementary,Lunch,3,Fat Free White Milk,0.04962880618001632
2025-05-01,Bren Mar Park Elementary,Breakfast,1,Egg and American Cheese on Biscuit,0.0934195864805969
2025-05-01,Bren Mar Park Elementary,Breakfast,2,Blueberry Muffin Top,0.053513301600563175
2025-05-01,Bren Mar Park Elementary,Breakfast,3,1% White Milk,0.03845686517205679
2025-05-01,Bren Mar Park Elementary,Lunch,1,Black Beans,0.3868121506802739
2025-05-01,Bren Mar Park Elementary,Lunch,2,Chickpeas,0.2927116971620152
2025-05-01,Bren Mar Park Elementary,Lunch,3,Doritos Wild White Nacho Flavored Tortilla Chips,0.1406402127057895
2025-05-01,Brookfield Elementary,Breakfast,1,Strawberry Parfait,0.27116742425223783
2025-05-01,Brookfield Elementary,Breakfast,2,Egg and American Cheese on Biscuit,0.1238877948150899
2025-05-01,Brookfield Elementary,Breakfast,3,1% White Milk,0.05302216666753592
2025-05-01,Brookfield Elementary,Lunch,1,1% White Milk,0.08669018003428643
2025-05-01,Brookfield Elementary,Lunch,2,Italian Dressing,0.0736667456795719
2025-05-01,Brookfield Elementary,Lunch,3,Orange Tangerine Juice,0.07088995574795874
2025-05-01,Bucknell Elementary,Breakfast,1,Egg and American Cheese on Biscuit,0.12890162145737455
2025-05-01,Bucknell Elementary,Breakfast,2,1% White Milk,0.04981922513149479
2025-05-01,Bucknell Elementary,Breakfast,3,Orange Tangerine Juice,0.018435368912472157
2025-05-01,Bucknell Elementary,Lunch,1,Chickpeas,0.29071026316168164
2025-05-01,Bucknell Elementary,Lunch,2,1% White Milk,0.10933969016535304
2025-05-01,Bucknell Elementary,Lunch,3,Italian Dressing,0.0991982602488057
2025-05-01,Bull Run Elementary,Breakfast,1,Egg and American Cheese on Biscuit,0.16766918160085362
2025-05-01,Bull Run Elementary,Breakfast,2,Banana,0.05286494724334642
2025-05-01,Bull Run Elementary,Breakfast,3,1% White Milk,0.05092255105195228
2025-05-01,Bull Run Elementary,Lunch,1,1% White Milk,0.10074963075199977
2025-05-01,Bull Run Elementary,Lunch,2,Italian Dressing,0.0995609368702742
2025-05-01,Bull Run Elementary,Lunch,3,Strawberry & Banana Yogurt Power Pack,0.05256721597720305
2025-05-01,Bush Hill Elementary,Breakfast,1,Egg and American Cheese on Biscuit,0.15850014272164825
2025-05-01,Bush Hill Elementary,Breakfast,2,1% White Milk,0.08274074517509988
2025-05-01,Bush Hill Elementary,Breakfast,3,Banana,0.05379925423383086
2025-05-01,Bush Hill Elementary,Lunch,1,Chickpeas,0.2374459554689416
2025-05-01,Bush Hill Elementary,Lunch,2,Doritos Wild White Nacho Flavored Tortilla Chips,0.1526249547011013
2025-05-01,Bush Hill Elementary,Lunch,3,1% White Milk,0.09818936973358618
2025-05-01,CHANTILLY HS,Breakfast,1,Egg and American Cheese on Biscuit,0.11247695007116174
2025-05-01,CHANTILLY HS,Breakfast,2,Orange,0.045201820656634494
2025-05-01,CHANTILLY HS,Breakfast,3,Red Delicious Apple,0.040691848090050824
